Income,CIBIL,Loan_Amount,Assets,Loan_Term,Dependents,Education,Self_Employed,Loan_Status
High,Excellent,Large,High,Medium,Many,Graduate,Yes,Approved
Medium,Poor,Large,Medium,Short,,Not Graduate,Yes,Rejected
Medium,Poor,Medium,Low,Medium,Many,Not Graduate,Yes,Rejected
High,Poor,Medium,Medium,Short,Many,Graduate,No,Rejected
Medium,Poor,Medium,Medium,Medium,Many,Graduate,No,Rejected
Medium,Fair,Medium,Medium,Medium,Many,Graduate,No,Approved
Low,Poor,Small,Low,Long,Many,Not Graduate,Yes,Rejected
Low,Fair,Small,Low,Medium,,Not Graduate,No,Approved
Low,Poor,Small,Low,Long,Few,Graduate,Yes,Rejected
Low,Poor,Small,Low,Short,Many,Not Graduate,No,Rejected
Medium,Poor,Medium,Medium,Short,Many,Graduate,Yes,Rejected
Low,Good,Small,Low,Long,Many,Graduate,No,Approved
Medium,Fair,Medium,High,Medium,Few,Graduate,No,Approved
Low,Fair,Small,Low,Medium,Many,Not Graduate,No,Approved
High,Good,Large,High,Long,Few,Not Graduate,No,Approved
Medium,Poor,Medium,Medium,Medium,Many,Graduate,No,Rejected
Low,Good,Small,Low,Short,Many,Graduate,No,Approved
High,Poor,Large,High,Long,Many,Graduate,Yes,Rejected
High,Poor,Large,High,Short,Many,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Long,Many,Not Graduate,Yes,Rejected
Low,Fair,Small,Low,Long,Few,Graduate,No,Approved
Low,Poor,Small,Low,Long,Many,Not Graduate,Yes,Rejected
Low,Poor,Small,Low,Medium,Few,Graduate,No,Rejected
High,Excellent,Large,High,Long,Few,Not Graduate,No,Approved
High,Good,Large,High,Medium,Many,Not Graduate,Yes,Approved
High,Good,Large,High,Long,Few,Not Graduate,No,Approved
Medium,Good,Medium,Low,Short,Few,Not Graduate,Yes,Approved
Low,Excellent,Small,Low,Short,Many,Graduate,Yes,Approved
Medium,Fair,Medium,Medium,Short,,Graduate,No,Approved
Medium,Excellent,Medium,Medium,Short,Few,Graduate,No,Approved
High,Good,Large,Medium,Medium,Few,Not Graduate,No,Approved
Low,Fair,Small,Low,Short,Many,Graduate,No,Approved
Medium,Poor,Medium,Medium,Medium,Many,Graduate,Yes,Rejected
Low,Excellent,Small,Low,Short,Many,Graduate,Yes,Approved
High,Poor,Large,High,Short,Many,Graduate,No,Rejected
Low,Excellent,Small,Low,Medium,Many,Not Graduate,No,Approved
Medium,Poor,Small,Medium,Medium,Many,Graduate,No,Rejected
Low,Good,Medium,Low,Long,Many,Graduate,Yes,Approved
Low,Poor,Small,Low,Short,,Not Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Short,Many,Not Graduate,No,Rejected
Low,Poor,Small,Low,Short,Many,Not Graduate,Yes,Approved
Low,Fair,Small,Low,Medium,,Not Graduate,Yes,Approved
High,Poor,Large,High,Medium,Few,Not Graduate,Yes,Rejected
High,Fair,Large,High,Medium,Many,Not Graduate,No,Approved
Low,Poor,Small,Low,Medium,Many,Not Graduate,Yes,Rejected
Medium,Excellent,Large,Medium,Short,Many,Not Graduate,Yes,Approved
Low,Excellent,Small,Low,Short,Many,Not Graduate,Yes,Approved
Medium,Fair,Medium,High,Medium,Many,Graduate,Yes,Approved
High,Fair,Large,Medium,Short,Few,Not Graduate,Yes,Approved
High,Poor,Large,High,Long,Many,Graduate,Yes,Rejected
Low,Poor,Small,Low,Long,Many,Not Graduate,Yes,Rejected
Medium,Good,Medium,Medium,Medium,Many,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Medium,Many,Graduate,No,Rejected
Medium,Poor,Small,Medium,Short,Many,Graduate,Yes,Rejected
Low,Fair,Small,Low,Long,Few,Not Graduate,No,Approved
High,Fair,Large,High,Long,,Graduate,No,Approved
Medium,Poor,Medium,Medium,Medium,,Graduate,No,Rejected
High,Excellent,Medium,High,Short,Few,Not Graduate,No,Approved
Medium,Poor,Medium,High,Medium,Many,Graduate,Yes,Rejected
High,Good,Large,High,Medium,Many,Not Graduate,No,Approved
High,Poor,Large,Medium,Long,Few,Graduate,No,Rejected
Medium,Fair,Medium,Medium,Medium,Many,Graduate,Yes,Approved
High,Excellent,Large,High,Long,Few,Not Graduate,Yes,Approved
Low,Excellent,Small,Low,Long,Many,Not Graduate,No,Approved
High,Fair,Large,High,Long,Many,Graduate,Yes,Approved
High,Fair,Large,High,Long,,Not Graduate,Yes,Approved
Medium,Poor,Large,Medium,Medium,Many,Graduate,Yes,Rejected
High,Fair,Large,High,Long,Few,Not Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Medium,Many,Graduate,Yes,Rejected
Medium,Good,Small,Medium,Long,Many,Not Graduate,No,Approved
Medium,Excellent,Large,Medium,Medium,Few,Graduate,Yes,Approved
High,Fair,Large,High,Medium,Many,Not Graduate,Yes,Approved
Medium,Good,Large,Medium,Long,Few,Graduate,Yes,Approved
High,Fair,Large,High,Medium,Many,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Short,,Not Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Medium,,Not Graduate,No,Rejected
Low,Poor,Small,Medium,Short,Many,Graduate,No,Rejected
Medium,Excellent,Large,Medium,Short,Many,Not Graduate,Yes,Approved
High,Poor,Medium,High,Medium,Few,Not Graduate,Yes,Rejected
Medium,Good,Medium,Medium,Short,Many,Not Graduate,No,Approved
Low,Fair,Small,Low,Medium,,Not Graduate,No,Approved
Medium,Fair,Small,Medium,Long,Many,Graduate,Yes,Approved
Low,Fair,Small,Low,Medium,Many,Graduate,Yes,Approved
Low,Excellent,Small,Low,Short,Many,Not Graduate,No,Approved
High,Poor,Medium,Medium,Long,Many,Graduate,No,Rejected
Medium,Poor,Medium,High,Long,,Not Graduate,Yes,Rejected
Low,Poor,Small,Low,Short,Many,Not Graduate,No,Rejected
Low,Excellent,Small,Low,Medium,Few,Graduate,No,Approved
Low,Excellent,Small,Medium,Long,,Not Graduate,No,Approved
Medium,Fair,Medium,Medium,Long,Few,Not Graduate,No,Approved
High,Fair,Large,High,Long,Many,Not Graduate,No,Approved
Medium,Excellent,Medium,Low,Short,,Not Graduate,Yes,Approved
High,Excellent,Large,Medium,Short,Few,Graduate,No,Approved
High,Good,Large,Medium,Medium,,Graduate,No,Approved
Low,Poor,Small,Low,Long,Few,Graduate,No,Rejected
Low,Poor,Small,Low,Short,Many,Graduate,Yes,Rejected
Low,Poor,Medium,Low,Long,Few,Not Graduate,No,Rejected
Low,Poor,Small,Low,Short,Many,Not Graduate,No,Rejected
High,Poor,Large,High,Short,Many,Graduate,Yes,Rejected
Medium,Poor,Medium,High,Short,Few,Not Graduate,No,Rejected
Low,Poor,Small,Low,Medium,Few,Graduate,No,Rejected
Low,Poor,Small,Low,Medium,Many,Not Graduate,No,Rejected
Low,Poor,Small,Low,Medium,Many,Graduate,Yes,Rejected
Medium,Fair,Medium,Medium,Long,Many,Graduate,Yes,Approved
Low,Poor,Small,Low,Long,Few,Not Graduate,No,Rejected
Low,Poor,Small,Low,Short,Many,Not Graduate,Yes,Rejected
Low,Excellent,Small,Low,Short,Many,Graduate,No,Approved
High,Poor,Medium,High,Medium,,Not Graduate,Yes,Rejected
High,Excellent,Large,Medium,Short,Many,Graduate,Yes,Approved
Low,Poor,Small,Low,Long,Many,Graduate,No,Rejected
Medium,Good,Medium,High,Medium,Few,Graduate,No,Approved
Low,Excellent,Small,Low,Medium,Many,Graduate,No,Approved
Medium,Poor,Medium,Medium,Short,Many,Graduate,No,Approved
High,Poor,Large,High,Short,,Not Graduate,No,Rejected
Low,Poor,Small,Low,Long,Few,Graduate,Yes,Rejected
Medium,Poor,Medium,Medium,Medium,,Graduate,Yes,Rejected
High,Poor,Large,High,Medium,Few,Graduate,Yes,Rejected
High,Poor,Large,High,Long,Many,Graduate,No,Rejected
Low,Good,Small,Low,Short,Few,Graduate,No,Approved
Low,Fair,Small,Low,Short,Many,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Short,Many,Graduate,Yes,Rejected
Low,Fair,Small,Low,Long,Many,Not Graduate,Yes,Approved
Low,Excellent,Small,Low,Medium,Few,Graduate,Yes,Approved
Low,Fair,Medium,Low,Long,,Graduate,No,Approved
Low,Excellent,Small,Low,Long,Few,Graduate,Yes,Approved
Low,Poor,Small,Low,Short,,Not Graduate,No,Rejected
High,Poor,Large,High,Long,Many,Graduate,No,Rejected
High,Fair,Large,Medium,Short,Few,Not Graduate,No,Approved
Low,Good,Small,Low,Long,Many,Graduate,No,Approved
Medium,Fair,Medium,Medium,Long,Few,Not Graduate,No,Approved
Medium,Good,Medium,Medium,Medium,Many,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Short,Many,Not Graduate,Yes,Rejected
High,Excellent,Large,High,Long,Many,Not Graduate,No,Approved
Medium,Poor,Medium,High,Long,Few,Not Graduate,No,Rejected
Low,Poor,Small,Low,Short,,Not Graduate,No,Approved
Medium,Excellent,Medium,Medium,Short,Many,Not Graduate,No,Approved
Medium,Poor,Medium,Medium,Short,Many,Graduate,No,Rejected
Medium,Poor,Small,Medium,Medium,Few,Not Graduate,Yes,Rejected
Low,Good,Small,Low,Short,Many,Graduate,No,Approved
Medium,Good,Medium,Medium,Medium,Many,Graduate,No,Approved
High,Poor,Large,High,Short,Many,Not Graduate,No,Rejected
Low,Good,Small,Low,Short,Many,Graduate,Yes,Approved
Low,Excellent,Small,Low,Short,Few,Graduate,No,Approved
Medium,Poor,Medium,Medium,Long,Many,Not Graduate,No,Rejected
Medium,Poor,Medium,Medium,Short,Few,Graduate,Yes,Rejected
High,Poor,Large,Medium,Long,Many,Not Graduate,Yes,Rejected
Medium,Fair,Medium,Medium,Short,Many,Not Graduate,Yes,Approved
Low,Excellent,Medium,Low,Short,Few,Not Graduate,No,Approved
High,Excellent,Large,High,Short,Many,Graduate,No,Approved
Low,Poor,Small,Low,Short,Few,Graduate,Yes,Approved
Low,Excellent,Medium,Medium,Medium,Many,Graduate,Yes,Approved
High,Poor,Medium,Medium,Medium,Few,Graduate,Yes,Rejected
High,Excellent,Large,High,Medium,Many,Graduate,Yes,Approved
High,Fair,Large,High,Medium,,Graduate,Yes,Approved
High,Excellent,Large,High,Medium,Few,Graduate,No,Approved
High,Poor,Large,Medium,Long,Many,Graduate,Yes,Rejected
Low,Good,Small,Low,Short,Many,Graduate,Yes,Approved
Medium,Excellent,Medium,Medium,Short,Few,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Short,Many,Not Graduate,No,Approved
Low,Poor,Small,Low,Short,Few,Not Graduate,Yes,Rejected
Low,Good,Small,Low,Short,Many,Graduate,No,Approved
Low,Poor,Medium,Medium,Long,Many,Not Graduate,No,Rejected
Low,Excellent,Medium,Low,Medium,Many,Graduate,No,Approved
Low,Poor,Small,Low,Short,Many,Graduate,Yes,Rejected
Low,Good,Small,Low,Short,,Not Graduate,No,Approved
Low,Good,Small,Low,Short,Many,Graduate,No,Approved
High,Fair,Large,Medium,Short,Few,Not Graduate,No,Approved
Low,Excellent,Small,Low,Long,Many,Graduate,Yes,Approved
Medium,Poor,Medium,High,Medium,Many,Not Graduate,No,Rejected
Medium,Poor,Medium,Medium,Long,Few,Not Graduate,No,Rejected
Medium,Excellent,Medium,High,Medium,Many,Graduate,No,Approved
Low,Excellent,Small,Low,Short,Few,Graduate,Yes,Approved
Low,Good,Small,Low,Short,Few,Not Graduate,No,Approved
Low,Poor,Small,Low,Short,Many,Not Graduate,No,Rejected
Medium,Poor,Medium,Medium,Short,Few,Not Graduate,No,Rejected
Low,Poor,Small,Low,Medium,Few,Not Graduate,Yes,Rejected
Medium,Poor,Medium,Medium,Short,Many,Not Graduate,Yes,Rejected
High,Excellent,Large,High,Short,,Graduate,Yes,Approved
High,Excellent,Large,Medium,Short,Few,Graduate,Yes,Approved
Medium,Poor,Medium,High,Medium,Many,Not Graduate,Yes,Rejected
Low,Good,Medium,Low,Short,Many,Graduate,No,Approved
High,Excellent,Large,High,Medium,Many,Not Graduate,Yes,Approved
High,Poor,Large,High,Short,Many,Not Graduate,Yes,Rejected
Medium,Poor,Medium,Medium,Short,Many,Graduate,Yes,Approved
Low,Poor,Small,Low,Medium,Many,Not Graduate,No,Rejected
Low,Poor,Small,Medium,Short,Few,Graduate,Yes,Rejected
Low,Fair,Small,Low,Medium,Many,Not Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Short,Few,Not Graduate,No,Rejected
Low,Poor,Small,Low,Long,,Not Graduate,No,Rejected
Medium,Excellent,Large,Medium,Medium,Many,Graduate,Yes,Approved
Medium,Poor,Medium,High,Short,,Graduate,No,Rejected
Medium,Poor,Medium,High,Short,Many,Graduate,Yes,Rejected
Medium,Excellent,Medium,Low,Long,Few,Not Graduate,Yes,Approved
Medium,Excellent,Large,Medium,Medium,,Not Graduate,No,Approved
Medium,Poor,Medium,Medium,Medium,Many,Not Graduate,Yes,Rejected
Low,Excellent,Small,Low,Medium,Many,Graduate,No,Approved
Medium,Poor,Medium,Medium,Short,Many,Not Graduate,No,Rejected
High,Good,Large,High,Medium,Many,Not Graduate,Yes,Approved
Low,Excellent,Medium,Low,Long,Many,Not Graduate,No,Approved
Medium,Excellent,Medium,Medium,Long,Many,Not Graduate,No,Approved
Medium,Excellent,Large,High,Medium,Few,Not Graduate,Yes,Approved
Medium,Good,Medium,Medium,Medium,Many,Graduate,Yes,Approved
High,Excellent,Large,High,Short,Few,Not Graduate,No,Approved
Low,Poor,Small,Low,Short,Few,Not Graduate,No,Approved
Low,Fair,Small,Low,Short,,Graduate,Yes,Approved
High,Poor,Large,High,Medium,Many,Graduate,Yes,Rejected
High,Poor,Large,High,Medium,Few,Graduate,Yes,Rejected
Low,Poor,Medium,Low,Medium,,Not Graduate,Yes,Rejected
Low,Good,Small,Low,Short,Few,Graduate,Yes,Approved
High,Poor,Medium,Medium,Long,Many,Not Graduate,Yes,Rejected
Medium,Excellent,Small,Medium,Medium,Few,Not Graduate,No,Approved
Low,Excellent,Small,Low,Long,Many,Graduate,No,Approved
Medium,Poor,Medium,Medium,Medium,,Not Graduate,No,Rejected
Low,Good,Small,Low,Long,,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Long,Many,Graduate,Yes,Rejected
High,Poor,Medium,High,Long,,Graduate,Yes,Rejected
Low,Fair,Small,Low,Short,Few,Graduate,No,Approved
Low,Poor,Small,Low,Long,Many,Not Graduate,Yes,Rejected
High,Excellent,Medium,High,Short,Many,Not Graduate,Yes,Approved
High,Poor,Large,High,Short,Many,Not Graduate,Yes,Rejected
Low,Excellent,Small,Low,Short,,Graduate,Yes,Approved
High,Excellent,Large,Medium,Long,Many,Not Graduate,Yes,Approved
High,Excellent,Large,Medium,Short,Many,Graduate,No,Approved
High,Poor,Large,High,Long,,Not Graduate,Yes,Rejected
Low,Poor,Small,Low,Long,,Graduate,Yes,Rejected
Medium,Excellent,Medium,High,Medium,Many,Graduate,No,Approved
Low,Good,Small,Low,Medium,Many,Not Graduate,Yes,Approved
High,Good,Large,High,Medium,Many,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Medium,Many,Not Graduate,No,Rejected
High,Fair,Medium,High,Short,Few,Graduate,Yes,Approved
Low,Good,Small,Low,Long,Many,Graduate,No,Approved
High,Poor,Large,High,Short,,Not Graduate,No,Rejected
Low,Poor,Small,Low,Medium,Many,Not Graduate,Yes,Rejected
Low,Poor,Small,Low,Short,Few,Graduate,Yes,Rejected
Low,Excellent,Small,Low,Short,Many,Graduate,No,Approved
Low,Poor,Small,Low,Short,Few,Not Graduate,Yes,Rejected
High,Poor,Large,High,Short,Few,Not Graduate,No,Approved
High,Excellent,Large,High,Medium,Many,Not Graduate,No,Approved
High,Poor,Large,High,Short,Many,Not Graduate,Yes,Approved
Medium,Good,Medium,Medium,Long,Many,Not Graduate,Yes,Approved
High,Good,Large,Medium,Short,Few,Not Graduate,No,Approved
Medium,Good,Medium,Medium,Short,Few,Graduate,Yes,Approved
Medium,Excellent,Large,High,Long,,Graduate,No,Approved
High,Fair,Medium,Medium,Medium,,Graduate,Yes,Approved
High,Good,Large,High,Medium,Many,Not Graduate,No,Approved
Low,Good,Small,Low,Long,,Not Graduate,No,Approved
Low,Excellent,Small,Low,Medium,Few,Graduate,Yes,Approved
Medium,Poor,Small,Medium,Short,Many,Graduate,Yes,Rejected
Medium,Fair,Small,Low,Short,Many,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Medium,Many,Graduate,Yes,Rejected
High,Good,Large,High,Short,Many,Not Graduate,Yes,Approved
High,Good,Large,Medium,Short,Many,Not Graduate,No,Approved
Medium,Poor,Medium,High,Long,Many,Graduate,No,Rejected
Medium,Poor,Medium,Medium,Medium,Many,Graduate,No,Rejected
Medium,Poor,Medium,Medium,Long,Many,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Short,Many,Not Graduate,No,Rejected
High,Good,Large,High,Medium,Few,Not Graduate,Yes,Approved
High,Excellent,Large,High,Short,Many,Graduate,No,Approved
High,Poor,Large,High,Medium,,Graduate,Yes,Rejected
Low,Poor,Small,Low,Long,Many,Graduate,Yes,Rejected
Medium,Good,Medium,Low,Medium,,Graduate,Yes,Approved
Medium,Good,Medium,Medium,Short,Few,Graduate,Yes,Approved
High,Excellent,Large,High,Short,Few,Not Graduate,No,Approved
Low,Poor,Medium,Low,Long,Many,Not Graduate,No,Rejected
High,Fair,Medium,High,Short,Many,Graduate,No,Approved
Low,Poor,Small,Low,Long,Many,Not Graduate,No,Rejected
Low,Good,Small,Low,Short,,Graduate,Yes,Approved
High,Good,Medium,High,Medium,Many,Not Graduate,No,Approved
Medium,Poor,Large,High,Short,Many,Graduate,Yes,Approved
High,Good,Large,High,Short,Many,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Short,Few,Graduate,No,Approved
High,Good,Medium,High,Short,Few,Not Graduate,No,Approved
High,Poor,Large,High,Medium,Few,Not Graduate,No,Rejected
Medium,Good,Medium,Medium,Short,Many,Not Graduate,No,Approved
High,Poor,Large,High,Medium,Many,Not Graduate,Yes,Rejected
High,Poor,Large,High,Long,Many,Not Graduate,Yes,Rejected
Medium,Poor,Medium,Medium,Medium,Many,Not Graduate,No,Rejected
Medium,Poor,Large,Medium,Medium,,Not Graduate,Yes,Rejected
High,Good,Large,High,Long,Few,Graduate,Yes,Approved
High,Poor,Medium,Medium,Short,Few,Graduate,No,Rejected
High,Good,Large,High,Long,Few,Not Graduate,Yes,Approved
High,Good,Large,High,Medium,Few,Graduate,Yes,Approved
Low,Poor,Small,Low,Short,Few,Not Graduate,Yes,Rejected
Low,Excellent,Small,Low,Long,Many,Graduate,Yes,Approved
High,Excellent,Large,High,Short,Many,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Long,Few,Graduate,Yes,Rejected
Low,Poor,Small,Low,Long,Many,Graduate,No,Rejected
High,Excellent,Large,High,Medium,,Not Graduate,Yes,Approved
High,Poor,Large,High,Short,Few,Not Graduate,No,Rejected
High,Fair,Large,High,Long,,Graduate,No,Approved
High,Poor,Large,High,Long,Many,Graduate,Yes,Rejected
High,Excellent,Large,High,Medium,Many,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Medium,Many,Graduate,Yes,Rejected
Low,Excellent,Medium,Low,Short,Few,Graduate,No,Approved
High,Good,Medium,High,Short,Many,Graduate,Yes,Approved
High,Good,Large,High,Long,Few,Graduate,No,Approved
High,Good,Large,High,Long,Few,Graduate,Yes,Approved
High,Poor,Large,High,Medium,,Not Graduate,No,Rejected
Medium,Fair,Medium,Medium,Long,,Not Graduate,No,Approved
High,Poor,Large,Medium,Short,Many,Graduate,Yes,Rejected
High,Fair,Large,Medium,Short,Many,Not Graduate,No,Approved
Low,Poor,Small,Low,Short,Few,Not Graduate,No,Approved
Low,Good,Small,Medium,Short,Few,Graduate,No,Approved
Medium,Poor,Medium,High,Short,Many,Graduate,Yes,Rejected
Low,Poor,Medium,Low,Short,Many,Graduate,Yes,Approved
Low,Excellent,Small,Low,Short,Many,Not Graduate,No,Approved
Low,Excellent,Small,Low,Long,,Graduate,No,Approved
Low,Excellent,Small,Low,Medium,,Graduate,No,Rejected
Low,Fair,Small,Low,Medium,,Not Graduate,No,Approved
High,Excellent,Large,High,Long,Few,Not Graduate,No,Approved
Low,Excellent,Small,Low,Short,,Not Graduate,No,Approved
Medium,Good,Medium,Medium,Short,Few,Not Graduate,No,Approved
High,Excellent,Large,High,Long,Many,Graduate,Yes,Approved
Medium,Fair,Medium,Medium,Long,Many,Not Graduate,No,Approved
Low,Fair,Small,Low,Short,Few,Not Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Long,Few,Not Graduate,Yes,Rejected
Medium,Excellent,Large,High,Medium,Few,Not Graduate,No,Approved
High,Fair,Large,High,Long,Few,Graduate,Yes,Approved
High,Excellent,Large,High,Long,,Graduate,No,Approved
Medium,Good,Medium,Medium,Short,Many,Graduate,Yes,Approved
High,Fair,Medium,Medium,Short,Few,Graduate,No,Approved
High,Good,Large,High,Long,Many,Not Graduate,No,Approved
Medium,Good,Large,Medium,Short,Few,Graduate,No,Approved
Low,Poor,Medium,Medium,Short,Many,Not Graduate,No,Approved
High,Fair,Large,High,Long,Few,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Medium,,Not Graduate,Yes,Rejected
Low,Excellent,Small,Low,Short,Many,Not Graduate,No,Approved
Medium,Excellent,Medium,Medium,Short,,Graduate,Yes,Approved
High,Poor,Large,High,Short,Few,Not Graduate,No,Rejected
Medium,Excellent,Large,Medium,Medium,Few,Not Graduate,Yes,Approved
High,Poor,Medium,High,Long,Few,Not Graduate,No,Rejected
High,Excellent,Large,High,Medium,Many,Not Graduate,Yes,Approved
Medium,Fair,Medium,Medium,Long,,Graduate,No,Approved
Low,Poor,Small,Low,Short,Many,Graduate,No,Approved
High,Poor,Large,High,Long,,Not Graduate,No,Rejected
Low,Fair,Medium,Low,Short,Many,Graduate,No,Approved
Medium,Poor,Large,Medium,Short,Many,Graduate,No,Approved
High,Poor,Large,High,Medium,Many,Not Graduate,No,Rejected
Low,Poor,Small,Low,Short,Many,Graduate,Yes,Rejected
Low,Excellent,Medium,Medium,Short,Many,Not Graduate,No,Approved
Medium,Poor,Medium,High,Medium,Many,Graduate,Yes,Rejected
High,Poor,Large,High,Long,Many,Graduate,No,Rejected
Medium,Fair,Medium,Medium,Long,,Graduate,Yes,Approved
High,Excellent,Large,High,Short,Many,Graduate,No,Approved
Medium,Poor,Medium,Medium,Short,Many,Not Graduate,No,Rejected
Low,Excellent,Small,Low,Short,Few,Not Graduate,Yes,Approved
High,Excellent,Large,Medium,Short,Many,Not Graduate,No,Approved
Low,Poor,Small,Low,Long,Few,Not Graduate,Yes,Rejected
Low,Excellent,Small,Low,Long,Few,Not Graduate,Yes,Approved
Low,Poor,Small,Medium,Short,Many,Graduate,Yes,Rejected
Low,Excellent,Medium,Medium,Short,Many,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Long,Many,Graduate,Yes,Rejected
Low,Excellent,Small,Low,Short,Few,Not Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Long,Few,Not Graduate,No,Rejected
High,Excellent,Large,High,Medium,Few,Not Graduate,Yes,Approved
High,Good,Medium,High,Short,Many,Not Graduate,No,Approved
Medium,Fair,Medium,Medium,Medium,Many,Not Graduate,Yes,Approved
High,Excellent,Large,High,Medium,Many,Not Graduate,Yes,Approved
High,Fair,Large,High,Short,Few,Not Graduate,No,Approved
High,Poor,Large,High,Short,Few,Not Graduate,No,Rejected
Low,Excellent,Medium,Low,Medium,Many,Graduate,Yes,Approved
Low,Poor,Small,Low,Medium,Many,Graduate,No,Rejected
High,Fair,Large,High,Short,Many,Not Graduate,Yes,Approved
High,Poor,Medium,High,Short,Many,Graduate,Yes,Rejected
High,Poor,Large,High,Medium,Many,Graduate,Yes,Rejected
Medium,Poor,Small,Medium,Short,Few,Graduate,Yes,Rejected
Low,Good,Small,Low,Short,Few,Graduate,Yes,Approved
Low,Excellent,Small,Low,Long,Many,Not Graduate,Yes,Approved
High,Poor,Large,Medium,Medium,Many,Not Graduate,Yes,Rejected
High,Fair,Large,High,Long,Few,Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Short,Many,Not Graduate,Yes,Rejected
Low,Poor,Small,Low,Long,Many,Not Graduate,Yes,Rejected
Low,Fair,Small,Low,Long,Few,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Long,Few,Graduate,No,Rejected
Low,Fair,Small,Low,Medium,Few,Graduate,Yes,Approved
High,Poor,Medium,High,Short,Many,Not Graduate,No,Rejected
Low,Fair,Small,Low,Short,Few,Not Graduate,Yes,Approved
Medium,Poor,Medium,Low,Medium,Many,Not Graduate,Yes,Rejected
Low,Poor,Small,Low,Long,Many,Graduate,Yes,Rejected
Medium,Fair,Medium,Medium,Long,Few,Not Graduate,Yes,Approved
Medium,Poor,Medium,High,Short,Few,Graduate,No,Rejected
High,Good,Large,High,Long,Many,Graduate,No,Approved
Low,Good,Small,Low,Long,,Not Graduate,Yes,Approved
Medium,Poor,Medium,High,Short,Many,Not Graduate,Yes,Rejected
Low,Excellent,Small,Low,Long,Many,Graduate,No,Approved
Medium,Poor,Large,High,Long,Many,Graduate,Yes,Rejected
Low,Poor,Small,Low,Short,Few,Graduate,No,Approved
Medium,Fair,Medium,Medium,Long,Many,Graduate,Yes,Approved
High,Poor,Large,High,Short,Many,Graduate,No,Rejected
Low,Excellent,Small,Low,Long,,Not Graduate,No,Approved
High,Good,Large,High,Medium,Few,Not Graduate,Yes,Approved
Medium,Excellent,Medium,Medium,Medium,Many,Graduate,No,Approved
Low,Good,Small,Low,Long,,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Long,Many,Graduate,Yes,Rejected
Low,Fair,Small,Low,Long,Many,Graduate,No,Approved
High,Excellent,Large,High,Short,Many,Graduate,No,Approved
Medium,Excellent,Medium,High,Short,,Graduate,Yes,Approved
Low,Good,Small,Low,Long,,Not Graduate,Yes,Approved
Medium,Fair,Medium,Medium,Medium,Many,Not Graduate,No,Approved
Low,Good,Small,Low,Short,Many,Graduate,Yes,Approved
Low,Poor,Small,Low,Medium,Many,Not Graduate,No,Rejected
Medium,Excellent,Small,Medium,Short,Many,Not Graduate,Yes,Approved
Low,Excellent,Medium,Low,Long,Few,Graduate,Yes,Approved
High,Excellent,Large,Medium,Medium,Few,Not Graduate,Yes,Approved
Low,Poor,Small,Low,Short,Few,Not Graduate,Yes,Approved
High,Poor,Medium,High,Short,Many,Graduate,Yes,Rejected
High,Poor,Medium,High,Short,Many,Not Graduate,No,Rejected
High,Fair,Large,High,Medium,Few,Graduate,Yes,Approved
High,Excellent,Large,High,Short,Few,Graduate,Yes,Approved
Medium,Fair,Large,Medium,Long,Few,Graduate,No,Approved
Low,Fair,Small,Low,Long,Many,Graduate,Yes,Approved
High,Poor,Large,High,Medium,Many,Graduate,No,Rejected
Low,Fair,Medium,Low,Short,Many,Graduate,No,Approved
Low,Poor,Small,Low,Long,,Not Graduate,No,Rejected
Low,Excellent,Small,Low,Medium,,Graduate,No,Approved
Medium,Poor,Medium,Medium,Short,Many,Not Graduate,Yes,Approved
Medium,Poor,Medium,Medium,Long,,Graduate,No,Rejected
Medium,Poor,Medium,Medium,Short,,Graduate,No,Rejected
High,Good,Large,High,Short,Many,Not Graduate,Yes,Approved
High,Excellent,Large,Medium,Long,,Graduate,No,Approved
High,Excellent,Medium,High,Short,Many,Not Graduate,Yes,Approved
High,Poor,Medium,High,Long,Many,Graduate,Yes,Rejected
High,Poor,Large,Medium,Medium,Few,Not Graduate,No,Rejected
High,Poor,Large,High,Short,Many,Not Graduate,Yes,Approved
Medium,Poor,Medium,High,Short,,Not Graduate,No,Rejected
